CategoryID,DataOrder,Name,Website,Address,DetailsLink,ProgramsLink,ImageURL,LogoURL
34,ıst,ISTANBUL UNIVERSITY,www.istanbul.edu.tr,"İstanbul University Rectorate Süleymaniye Mahallesi, İstanbul Ünv. No:15, 34116 Fatih/İstanbul (Beyazıt Campus)",/UniversityTurkey/Detail?uId=115373,/StudySearch/ProgramList?uId=BGW+z2PuHAI=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//5f48983216992.JPG,/Content/img/logo/115373.png
34,ıst,ISTANBUL UNIVERSITY-CERRAHPASA,http://www.istanbulc.edu.tr,,/UniversityTurkey/Detail?uId=339984,/StudySearch/ProgramList?uId=KUHyMGObBqc=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//a80d884653321.JPG,/Content/img/logo/339984.png
34,ıst,ISTANBUL TECHNICAL UNIVERSITY,www.itu.edu.tr,,/UniversityTurkey/Detail?uId=115069,/StudySearch/ProgramList?uId=GPnsgz1eHH8=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//ebeb20b959794.JPG,/Content/img/logo/115069.png
6,ank,ANKARA UNIVERSITY,https://www.ankara.edu.tr/,"Ankara University Rectorate, Dögol Caddesi 06100 Beşevler / Ankara / Turkey",/UniversityTurkey/Detail?uId=102738,/StudySearch/ProgramList?uId=DGwiPm6jJow=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//e5b9b0c286151.jpg,/Content/img/logo/102738.png
35,ege,EGE UNIVERSITY,https://ege.edu.tr,Ege University Campus 35100 Bornova-İZMİR Ege University Rectorate Gençlik Caddesi 35040 Bornova-İZMİR,/UniversityTurkey/Detail?uId=109290,/StudySearch/ProgramList?uId=uTd4iekXjEg=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//4b9b7f0069126.jpg,/Content/img/logo/109290.png
61,kar,KARADENIZ TECHNICAL UNIVERSITY,http://www.ktu.edu.tr,,/UniversityTurkey/Detail?uId=117127,/StudySearch/ProgramList?uId=wM45+WaiCLM=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//92eda20989035.JPG,/Content/img/logo/117127.png
6,mıd,MIDDLE EAST TECHNICAL UNIVERSITY,https://www.metu.edu.tr/,"Üniversiteler Mahallesi, Dumlupınar Bulvarı No:1, 06800 Çankaya/Ankara",/UniversityTurkey/Detail?uId=122571,/StudySearch/ProgramList?uId=Ico6AmAnvUw=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//9821cd4287996.jpg,/Content/img/logo/122571.png
25,ata,ATATURK UNIVERSITY,https://atauni.edu.tr,Atatürk University 25240 Erzurum,/UniversityTurkey/Detail?uId=103545,/StudySearch/ProgramList?uId=xGGclpE+hvs=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//76dece7512693.jpg,/Content/img/logo/103545.png
6,hac,HACETTEPE UNIVERSITY,https://internationalstudent2.hacettepe.edu.tr/en/menu/international_student_office-13,,/UniversityTurkey/Detail?uId=113082,/StudySearch/ProgramList?uId=9CKZM0q98Z4=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//3b47d66c77981.JPG,/Content/img/logo/113082.png
34,bog,BOGAZICI UNIVERSITY,http://adaylar.boun.edu.tr/en-EN/Home,Merkez Kampüs (Güney) Boğaziçi University 34342 Bebek/Istanbul Turkey,/UniversityTurkey/Detail?uId=105322,/StudySearch/ProgramList?uId=jHuFA/N7aX8=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//cbbf676270616.jpg,/Content/img/logo/105322.png
26,ana,ANADOLU UNIVERSITY,https://www.anadolu.edu.tr/,Anadolu University Yunus Emre Campus 26470 Tepebaşı / ESKİŞEHİR,/UniversityTurkey/Detail?uId=102261,/StudySearch/ProgramList?uId=mdoNY0gFUAo=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//caf95a2860225.JPG,/Content/img/logo/102261.png
1,cuk,CUKUROVA UNIVERSITY,https://www.cu.edu.tr,Cukurova University Rectorate Balcali Campus 01330 Çukurova / ADANA / TÜRKİYE,/UniversityTurkey/Detail?uId=107211,/StudySearch/ProgramList?uId=QkLSAD4ALKc=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//3f01eca563563.jpg,/Content/img/logo/107211.png
21,dıc,DICLE UNIVERSITY,https://www.dicle.edu.tr,"Dicle University Rectorate, 21280 Sur Diyarbakır Türkiye",/UniversityTurkey/Detail?uId=107723,/StudySearch/ProgramList?uId=1Afu2iUFgSk=,https://studyinturkeyvs.yok.gov.tr//PhotoAlbum//cb3fdd3268639.jpg,../../Content/img/logo/107723.png
